#  Longitude (degrees), Latitude (degrees),  ???,              M2 amplitude (cm),  S2 amplitude (cm),  K1 amplitude (cm),  O1 amplitude (cm)
#  -5.35,               36.1333,             -2,               29.8,               10.7,               2,                  0.9               
#  -4.45,               36.7,                0,                18,                 7,                  3,                  2                 
#  -3.9167,             35.25,               0,                18,                 7,                  4,                  1                 
#  -2.45,               36.8333,             0,                9,                  4,                  3,                  2                 
#  -0.5833,             38.3333,             0,                2,                  1,                  4,                  2                 
   2.6333,              39.5833,             0,                3,                  1,                  4,                  2                 
#  3.1,                 42.4833,             0,                4.6,                1.8,                3.2,                1.9               
#  5.35,                43.3,                0,                7,                  2,                  3,                  2                 
#  6.9167,              36.8833,             0,                5.6,                2.2,                2.3,                2                 
   8.0167,              43.8667,             0,                8.3,                3.4,                3.6,                1.6               
   8.3,                 39.15,               0,                6.5,                2.6,                3.2,                1.9               
   8.9,                 44.4,                0,                8.6,                3.2,                3.3,                1.4               
   9.1667,              39.2,                0,                7.6,                2.8,                3.2,                1.8               
#  9.85,                44.0667,             0,                9.4,                3.4,                3.7,                1.4               
#  10.1167,             33.8833,             0,                51.1,               36.4,               2.5,                0.5               
   10.3,                43.5333,             0,                8.5,                3.4,                4,                  1.8               
#  10.7667,             34.7333,             0,                41.6,               26.7,               1.8,                0.8               
#  11.1167,             33.5,                0,                21.9,               15.3,               2,                  0.9               
#  11.7833,             42.1,                0,                10.9,               4.1,                2.7,                1.2               
   12,                  36.7833,             0,                1.6,                1.9,                2,                  1.4               
#  12.3333,             45.4167,             0,                23.4,               14.1,               17.9,               5.6               
   12.5,                35.5,                0,                6.6,                4.2,                0.9,                0.7               
   12.5833,             37.6333,             0,                4.3,                1.8,                3.5,                1.6               
   12.8167,             36.1667,             0,                4.8,                3.1,                0.5,                0.9               
   13.2,                32.9,                0,                11.1,               5.4,                2,                  0.6               
#  13.3333,             38.1333,             0,                10.6,               4.1,                3.2,                1.2               
#  13.5,                43.6167,             0,                6.6,                3.6,                13,                 4.2               
   13.5,                37.25,               0,                4.5,                3.2,                1.8,                1.4               
   13.75,               45.65,               0,                26.3,               15.2,               19.7,               6.1               
   13.9333,             40.7333,             0,                12,                 5,                  3,                  1                 
#  14.2667,             40.8667,             0,                11.1,               4.4,                2.8,                1                 
   14.4,                42.5167,             0,                6.4,                4.5,                9.7,                3.4               
   14.5167,             35.9,                0,                6,                  4,                  1,                  1                 
#  14.5333,             45.3,                0,                10.6,               5.5,                13.8,               4.1               
   14.9667,             38.4833,             0,                12,                 4.5,                3.1,                1.1               
#  15.1,                38.5,                0,                6.4,                3.4,                1.5,                1.1               
   15.15,               36.6833,             0,                6.7,                3.5,                1.9,                0.9               
#  15.25,               38.2167,             0,                12,                 4.7,                3.3,                1.1               
#  15.65,               38.1167,             0,                6.2,                3.1,                1.3,                0.9               
   15.7667,             43.0333,             0,                6.8,                4.4,                6.8,                2.5               
   16.1833,             41.8833,             0,                7.9,                5.1,                4.2,                1.5               
#  16.4333,             43.5,                0,                8,                  5.6,                8.8,                2.7               
#  17.2167,             40.4667,             0,                6.5,                3.7,                1.8,                0.8               
#  17.9333,             40.6333,             0,                8.7,                5.2,                4.6,                1.5               
#  18.5,                40.15,               0,                7,                  4,                  2.3,                1                 
   19.1,                42.0667,             0,                9.2,                5.6,                4.8,                1.4               
#  20.7,                38.8333,             0,                4,                  2.2,                1.4,                0.6               
   21.3167,             37.6333,             0,                3.3,                1.6,                1.3,                0.5               
#  22.1333,             37.0167,             0,                2.2,                1.1,                1.2,                0.5               
#  23.0333,             40.6167,             0,                9,                  6.1,                2.6,                1.3               
   23.8,                32.1833,             0,                1.4,                1.3,                0.6,                0.5               
#  24.05,               35.5,                0,                1,                  0.8,                1.4,                0.6               
   24.9167,             37.4333,             0,                2,                  1,                  1.9,                1                 
#  25.1333,             35.3333,             0,                1.5,                1.1,                1.8,                0.9               
   25.3833,             40.85,               0,                7.1,                5,                  0.3,                1.3               
   25.7,                31.7667,             0,                2.9,                2.9,                1.2,                0.8               
   26.15,               38.3833,             0,                4.4,                2.9,                2.3,                1.3               
   26.8833,             37.0833,             0,                2.1,                1.3,                2,                  1.1               
   28.2333,             36.4333,             0,                4.4,                2.7,                1.8,                1.1               
   29.8667,             31.2,                0,                7.2,                4.1,                1.7,                1.3               
   32.3167,             31.2667,             0,                11.2,               6.9,                2.1,                1.7               
#  33.3167,             35.3333,             0,                10.1,               6.4,                2.4,                1.8               
#  33.95,               35.1167,             0,                11,                 7.3,                2.1,                1.8               
